순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
5439,옷 잘 벗는 예쁜 누나,2019-10-07,"100,000",0.0%,"100,000",20,20,11,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,안소희
5439,은밀한 관계 무삭제,2019-07-22,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김이슬,
5439,음란가족,2019-05-30,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,"드라마,멜로/로맨스",김종민,
5439,음란한 자매,2019-07-12,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,노바엔터테인먼트,노바엔터테인먼트,청소년관람불가,"코미디,드라마",김래이,
5439,이반의 어린 시절,,"148,000",0.0%,"2,078,000",20,335,1,2,러시아,러시아,,,,"드라마,전쟁",안드레이 타르코프스키,"니콜라이 부릴야예프,발렌틴 주브코프,예브게니 자리코프"
5439,이탈리아 투쟁,,"136,000",0.0%,"136,000",20,20,1,1,이탈리아,"이탈리아,프랑스",,,,기타,장 뤽 고다르,
5439,인디플러스 포항 기획전,,"20,000",0.0%,"20,000",20,20,1,1,한국,한국,,,,기타,,
5439,일반인 속초,2019-12-05,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)로드하우스,(주)로드하우스,청소년관람불가,성인물(에로),김석만,
5439,잉여들의 역습(인디스데이),,"95,500",0.0%,"95,500",20,20,1,9,한국,한국,,,,기타,,
5439,자매의 노예,2019-09-11,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,노바엔터테인먼트,노바엔터테인먼트,청소년관람불가,성인물(에로),김레리,
5439,작은 엄마 2 무삭제,2019-12-23,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김환,이은미
5439,장모의 딸,2019-11-25,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
5439,전망 좋은 하숙집,2019-07-29,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,"안소희,이은미"
5439,젊은 엄마 친구 2,2019-09-23,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,정현수,
5439,정사 2019 무삭제,2019-11-27,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,"멜로/로맨스,드라마",김이슬,
5439,정사 : 아내의 친구 2 무삭제,2019-08-14,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
5439,정사 : 엄마친구 무삭제,2019-10-10,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김환,
5439,정사 : 착한 며느리들 3,2019-11-20,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,이민우,
5439,제12회 대단한 단편영화제 개막식,,"160,000",0.0%,"160,000",20,20,1,1,기타,기타,,,,기타,,
5439,직장 연애사,2019-12-27,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,태율
5439,착한 엄마 3,2019-08-26,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김빛나,"이채담,이수민"
5439,착한 엄마친구 3,2019-10-28,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김빛나,이채담
5439,착한 친구아내,2019-01-29,"105,000",0.0%,"105,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,
5439,착한 형수 4,2019-08-19,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,임현태,
5439,출장 마사지 : 흥분한 여자들,2019-05-14,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,정철진,
5439,친구 아내 무삭제,2019-03-26,"105,000",0.0%,"105,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김이슬,"박주빈,도모세"
5439,친절한 며느리 무삭제,2019-05-02,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김이슬,
5439,친절한 형수님,2019-04-09,"105,000",0.0%,"105,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,조태호,
5439,타겟트,1972-11-19,"40,000",0.0%,"209,000",20,86,1,2,미국,"미국,영국",메트로-골드윈-마이어,,,액션,더글러스 힉콕스,"질 세인트 존,올리버 리드"
5439,타잔-크리스포터 램버트/그레이스 토크,1985-01-01,"60,000",0.0%,"60,000",20,20,1,1,영국,영국,워너 브러더스 픽쳐스,,연소자관람가,"가족,드라마,어드벤처",휴 허드슨,"랄프 리차드슨,크리스토퍼 램버트,제임스 폭스,앤디 맥도웰"
5439,태평륜,2016-08-12,"60,000",0.0%,"790,000",20,166,1,1,중국,중국,,(유)영화사 화수분,15세이상관람가,"드라마,액션,전쟁",오우삼,"금성무,송혜교,장쯔이,나가사와 마사미,황효명"
5439,테라스 하우스 : 클로징 도어,2019-03-06,"120,000",0.0%,"120,000",20,20,1,1,일본,일본,,(주)에이원엔터테인먼트,15세이상관람가,드라마,마에다 마사토,
5439,파라다이스 인 푸켓:여대생의 맛,2019-12-13,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
5439,파라다이스 인 푸켓:유학생의 맛,2019-12-20,"109,000",0.0%,"109,000",20,20,20,20,한국,한국,(주)영진크리에이티브,(주)영진크리에이티브,청소년관람불가,"멜로/로맨스,드라마",윤준세,
5439,패션 오브 크라이스트,2004-04-02,"120,000",0.0%,"5,519,021,500",20,"865,038",1,4,미국,미국,아이콘프로덕션,"(주)이수C&E,이십세기폭스필름코퍼레이션",15세관람가,드라마,멜 깁슨,"제임스 카비젤,모니카 벨루치,마이아 모겐스턴"
5439,패트리어트-늪속의 여우,2000-07-21,"60,000",0.0%,"60,000",20,20,1,1,미국,미국,센트로폴리스 엔터테인먼트,,15세관람가,"사극,액션,전쟁",롤랜드 에머리히,"멜 깁슨,히스 레저"
5439,팻시,,"106,000",0.0%,"308,000",20,62,1,2,미국,미국,,,,"코미디,드라마,멜로/로맨스",킹 비더,
5439,포 페더스,,"40,000",0.0%,"40,000",20,20,1,1,영국,영국,,,,"어드벤처,드라마,멜로/로맨스",졸탄 코다,랄프 리차드슨
5439,푸른잔디,,"60,000",0.0%,"104,000",20,42,1,1,오스트리아,오스트리아,,,,기타,에두라도 본 보소디,
5439,필동,2018-08-09,"137,000",0.0%,"137,000",20,20,1,6,한국,한국,레지스탕스 필름,"레지스탕스 필름,(주)파란프로덕션",15세이상관람가,판타지,필동,"조세린,차지원,문서연,김영,강재훈,김형욱,김형일,민준호,바스키아,박정우,박진호,이슬,최지영,유연우"
5439,형수의 유혹,2019-11-11,"100,000",0.0%,"100,000",20,20,20,20,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김부곤,이은미
5439,흩어진 밤,2021-06-24,"139,000",0.0%,"139,000",20,20,1,3,한국,한국,"(주)타이거시네마,DGC",영화배급협동조합 씨네소파,전체관람가,드라마,"이지형,김솔","문승아,최준우,김채원,임호준,정경임,김정우,강석원,장의돈,김나경,임동민,안진솔,민설애,설창호,이현서,권윤하"
5543,4월 수요단편극장 - 본격! 청춘배우특집!,,"152,000",0.0%,"152,000",19,19,1,1,한국,한국,,,,기타,,
5543,roooom,,"90,000",0.0%,"90,000",19,19,1,1,한국,한국,,,,,최익환,김대곤
5543,겨울 몽상(인디스데이),,"121,000",0.0%,"121,000",19,19,1,6,한국,한국,,,,기타,,
5543,그 후,2017-07-06,"163,000",0.0%,"142,482,508",19,"18,667",1,6,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",청소년관람불가,드라마,홍상수,"권해효,김민희,김새벽,강태우,박예주"
5543,글리머 맨,1996-10-26,"38,000",0.0%,"38,000",19,19,1,1,미국,미국,워너 브러더스 픽쳐스,,고등학생이상관람가,"액션,드라마,스릴러,범죄",존 그레이,"스티븐 시걸,키넌 아이보리 웨이언스"
5543,네고시에이터,1998-10-24,"57,000",0.0%,"57,000",19,19,1,1,미국,"미국,독일",,,15세 미만인 자는 관람할 수 없는 등급,"드라마,범죄,스릴러,액션",F. 게리 그레이,"케빈 스페이시,사무엘 L. 잭슨"
5543,동굴 속으로 + 마일 포 마일,,"95,000",0.0%,"95,000",19,19,1,2,기타,기타,,,,기타,,
5543,라스트 맨: 지구를 마지막으로 본 남자,2018-06-07,"43,000",0.0%,"43,000",19,19,5,19,아르헨티나,아르헨티나,,주식회사 풍경소리,15세이상관람가,"드라마,스릴러",로드리고 H. 비라,"헤이든 크리스텐슨,하비 케이틀"
5543,미용실 : 특별한 서비스 3,2019-04-29,"95,000",0.0%,"95,000",19,19,20,24,한국,한국,(주)영화사가을,(주)영화사가을,청소년관람불가,멜로/로맨스,김종민,
5543,박치기!,2006-02-14,"95,000",0.0%,"70,839,900",19,"11,409",1,1,일본,일본,(주)씨네콰논,프리비젼엔터테인먼트,15세관람가,드라마,이즈츠 카즈유키,"사와지리 에리카,타카오카 소스케,시오야 슈운"
5543,블러드 골드: 트레저 헌터,2018-02-02,"47,000",0.0%,"47,000",19,19,5,19,미국,미국,,주식회사 풍경소리,15세이상관람가,"범죄,액션",갤란 코넬,"크리스토퍼 레드만,마이클 베니어"
5543,새디스트,2018-03-22,"23,000",0.0%,"23,000",19,19,5,19,영국,영국,,(주)액티버스엔터테인먼트,청소년관람불가,스릴러,크레이그 굿윌,"애널리 팁튼,야곱 세데르그렌"
5543,샤키 머신,1982-04-24,"38,000",0.0%,"38,000",19,19,1,1,미국,미국,워너 브러더스 픽쳐스,,연소자관람불가,"범죄,액션",버트 레이놀즈,"레이첼 워드,버트 레이놀즈,찰스 더닝,수지 페이,비토리오 가스만"
5543,셔틀콕,2014-04-24,"64,000",0.0%,"35,332,355",19,"4,654",1,3,한국,한국,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"미스터리,멜로/로맨스,드라마",이유빈,"이주승,공예지,손승현,조동선,조수진,이강정,구자준,이유빈,김민철,김아리,김윤희,김태용,김혜영,김혜영,김혜영,유하복"
5543,쇼걸,1995-11-18,"38,000",0.0%,"338,000",19,169,1,1,미국,미국,카롤코 픽쳐스,"(주)콘텐츠패밀리,주식회사 풍경소리","연소자관람불가,청소년관람불가",드라마,폴 버호벤,"엘리자베스 버클리,카일 맥라클란,지나 거손,글렌 플러머"
5543,스트롱거 댄 블렛,,"95,000",0.0%,"95,000",19,19,1,2,스웨덴,스웨덴,,,,다큐멘터리,,
5543,시간을 달리는 소녀,2007-06-14,"138,000",0.0%,"664,964,500",19,"95,839",1,2,일본,일본,,"(주)얼리버드픽쳐스,THE 픽쳐스,CJ ENM",전체관람가,"애니메이션,판타지,멜로/로맨스",호소다 마모루,"이시다 타쿠야,나카 리이사"
5543,씨네필,,"127,000",0.0%,"127,000",19,19,1,2,아르헨티나,아르헨티나,,,,다큐멘터리,,
5543,씰룩씰룩 (춤/음악),,"95,000",0.0%,"95,000",19,19,1,2,한국,한국,,,,뮤지컬,,
5543,아이스 하키장의 젠,,"187,000",0.0%,"187,000",19,19,1,2,이탈리아,이탈리아,,,,드라마,,
5543,야곱의 사다리,2019-09-19,"26,000",0.0%,"26,000",19,19,5,19,미국,미국,,주식회사 풍경소리,15세이상관람가,"스릴러,액션",데이빗 M. 로젠탈,"마이클 엘리,제시 윌리엄스"
5543,에너미 오브 스테이트,1998-12-24,"57,000",0.0%,"57,000",19,19,1,1,미국,미국,제리부룩하이머필름,,15세 미만인 자는 관람할 수 없는 등급,"드라마,액션,스릴러",토니 스콧,"윌 스미스,진 해크만,존 보이트"
5543,영화로운 세계(인디스데이),,"19,000",0.0%,"19,000",19,19,1,2,한국,한국,,,,기타,,
5543,오오극장 개관 3주년 특별전 ? 문혜인 배우전,,"129,000",0.0%,"129,000",19,19,1,1,한국,한국,,,,기타,,
5543,욕망,,"88,000",0.0%,"88,000",19,19,1,3,프랑스,프랑스,,,,코미디,사샤 기트리,
5543,워 이베이젼,2019-10-24,"29,000",0.0%,"29,000",19,19,5,19,호주,호주,,주식회사 풍경소리,15세이상관람가,"전쟁,액션",스톰 애쉬우드,조쉬 맥콘빌
5543,위켄즈,2016-12-22,"116,000",0.0%,"38,310,700",19,"5,201",1,3,한국,한국,"한국게이인권운동단체 친구사이,반달",무브먼트,15세이상관람가,다큐멘터리,이동하,"고동민,낙타,미로"
5543,은혼,2017-12-07,"167,000",0.0%,"149,020,500",19,"18,342",2,5,일본,일본,,(주)라이크콘텐츠,12세이상관람가,"액션,어드벤처,코미디",후쿠다 유이치,"오구리 슌,스다 마사키,나가사와 마사미"
5543,인디애니페스트 2018 릴레이작가 초청전,,"94,000",0.0%,"94,000",19,19,1,1,기타,기타,,,,애니메이션,,
5543,인디포럼 월례비행 12월 단편선 : 연약한 마음의 힘,,"133,000",0.0%,"133,000",19,19,1,1,한국,한국,,,,기타,,
5543,잉여들의 히치하이킹,2013-11-28,"122,000",0.0%,"203,743,600",19,"29,497",1,1,한국,한국,Surplus,CGV아트하우스,12세이상관람가,다큐멘터리,이호재,"이호재,이현학,하승엽,김휘"
5543,자화상: 47km 너머의 스핑크스,,"51,000",0.0%,"51,000",19,19,1,4,중국,중국,,,,다큐멘터리,,
5543,작디작은 하나의 물체,,"132,000",0.0%,"132,000",19,19,1,2,대만,"대만,네덜란드,크로아티아",,,,드라마,,
5543,즐거운 나의 집,,"31,000",0.0%,"31,000",19,19,1,3,일본,일본,,,,다큐멘터리,,
5543,침묵의 시선,2015-09-03,"114,000",0.0%,"40,525,000",19,"5,168",1,1,덴마크,덴마크,,(주)엣나인필름,15세이상관람가,다큐멘터리,조슈아 오펜하이머,
5543,침입자,2017-12-14,"100,500",0.0%,"230,000",19,72,1,17,한국,한국,(주)케이알씨지,(주)케이알씨지,15세이상관람가,"범죄,스릴러",이숭환,
5543,크레이지 인 러브,2018-03-15,"36,000",0.0%,"36,000",19,19,5,19,프랑스,프랑스,,(주)액티버스엔터테인먼트,청소년관람불가,멜로/로맨스,재키 카투,
5543,푸드 파이터: 먹거리를 구하라,,"133,000",0.0%,"133,000",19,19,1,2,호주,호주,,,,다큐멘터리,,
5543,핑퐁,,"95,019",0.0%,"957,519",19,157,1,1,일본,일본,,,전체관람가,코미디,소리 후미히코,"쿠보즈카 요스케,아라타"
5543,허니와 클로버,2007-01-11,"95,000",0.0%,"274,729,000",19,"42,943",1,1,일본,일본,,스폰지,전체관람가,"멜로/로맨스,드라마",타카타 마사히로,"아오이 유우,사쿠라이 쇼"
5543,황금 투구,,"38,000",0.0%,"1,505,000",19,285,1,1,프랑스,프랑스,,,,"범죄,드라마,멜로/로맨스",자크 베커,"시몬느 시뇨레,세르주 레지아니"
5584,2047 버추얼 레볼루션,2019-09-26,"18,000",0.0%,"18,000",18,18,4,18,미국,미국,,(유)조이앤시네마,15세이상관람가,"SF,액션",가이-로저 듀버트,
5584,FIWOM 2018 피움초이스2,,"126,000",0.0%,"126,000",18,18,1,1,한국,한국,,,,기타,,
5584,[음식영화제] 폐막작-오감만족 국제단편경선 2019 수상작,,"126,000",0.0%,"126,000",18,18,1,1,기타,기타,,,,기타,,
5584,경솔,,"84,000",0.0%,"84,000",18,18,1,3,미국,미국,,,,"코미디,드라마,뮤지컬",레오 맥커레이,"글로리아 스완슨,벤 리온"
5584,교환일기,,"140,000",0.0%,"140,000",18,18,1,4,한국,한국,,,,다큐멘터리,"임흥순,모모세 아야",
5584,내 머리 속의 지우개,2004-11-05,"113,000",0.0%,"11,936,105,600",18,"1,887,868",1,2,한국,한국,(주)싸이더스,CJ ENM,12세관람가,멜로/로맨스,이재한,"정우성,손예진,데이비드 맥기니스,김부선,정광재,최기호,박경진,장재용,전은희,이영필,박윤희,이정인,신현탁,김중기,권병길,진용욱,정민성,최교식"
5584,내 배우 영업전_한혜지,,"126,000",0.0%,"126,000",18,18,1,1,한국,한국,,,,기타,,
5584,대구단편 1,,"90,000",0.0%,"90,000",18,18,1,2,한국,한국,,,,기타,,
5584,두 비둘기,,"80,000",0.0%,"80,000",18,18,1,3,프랑스,프랑스,,,,코미디,사샤 기트리,
5584,디스트럭션 베이비,,"159,000",0.0%,"687,000",18,107,2,5,일본,일본,,,청소년관람불가,드라마,마리코 테츠야,"키타무라 타쿠미,야기라 유야,고마츠 나나,무라카미 니지로,이케마츠 소스케"
5584,런던 프라이드,2017-04-27,"180,000",0.0%,"100,822,200",18,"13,148",1,1,영국,영국,,(주)영화사 진진,15세이상관람가,"코미디,드라마",매튜 워처스,"빌 나이,이멜다 스턴톤,도미닉 웨스트,패디 콘시딘,앤드류 스캇,조지 맥케이,조셉 길건"
5584,로시오와 알다나,,"126,000",0.0%,"126,000",18,18,1,1,캐나다,"캐나다,아르헨티나",,,,다큐멘터리,로라 바리,
5584,마지 도리스,,"90,000",0.0%,"90,000",18,18,1,2,스웨덴,"스웨덴,노르웨이",,,,다큐멘터리,,
5584,먹거나 먹히거나,2019-10-10,"44,000",0.0%,"44,000",18,18,5,18,미국,미국,,㈜코리아스크린,청소년관람불가,"액션,범죄,드라마",폴 슈레이더,"니콜라스 케이지,윌렘 데포,루이자 크로즈,폴 슈레이더"
5584,멕시코의 에이젠슈타인,,"116,000",0.0%,"502,000",18,67,1,1,네덜란드,"네덜란드,멕시코,핀란드,벨기에,프랑스",,,,"코미디,멜로/로맨스",피터 그리너웨이,"루이스 알베르티,스텔리오 사반테,마야 자파타"
5584,모진: 용골천서의 비밀,2019-05-09,"111,000",0.0%,"111,000",18,18,1,8,중국,중국,,(주)영화사오원,12세이상관람가,"판타지,액션,어드벤처",비행,
5584,몽키킹2: 서유기 여정의 시작,2016-05-19,"118,000",0.0%,"49,195,600",18,"11,174",1,9,중국,중국,,THE 픽쳐스,12세이상관람가,"액션,판타지",정보서,"곽부성,공리,풍소봉,진혜림"
5584,벼룩 잡는 사무라이,,"134,000",0.0%,"134,000",18,18,1,4,일본,일본,,,청소년관람불가,코미디,츠루하시 야스오,
5584,부서진 기억들,,"90,000",0.0%,"375,000",18,67,1,1,미국,미국,,,,다큐멘터리,,
5584,비 마이 와이프,,"84,000",0.0%,"84,000",18,18,1,3,미국,미국,,,,코미디,,
5584,사망유희,1978-05-18,"116,000",0.0%,"897,000",18,161,1,4,미국,"미국,홍콩",골든하베스트,(유)조이앤시네마,15세이상관람가,액션,로버트 클루즈,"이소룡,직 영,콜린 캠프,이곤"
5584,살인 전화,,"36,000",0.0%,"1,471,000",18,495,1,1,미국,미국,,,,"액션,드라마",아나톨 리트박,"안 리챠드,바바라 스탠윅,버트 랭커스터"
5584,수도원 아이들,,"90,000",0.0%,"90,000",18,18,1,1,캐나다,캐나다,,,,다큐멘터리,,
5584,슬리버,1993-08-14,"36,000",0.0%,"36,000",18,18,1,1,미국,미국,파라마운트 픽쳐스,,연소자관람불가,스릴러,필립 노이스,"샤론 스톤,톰 베린저,윌리엄 볼드윈"
5584,심야식당,2015-06-18,"116,000",0.0%,"1,047,861,974",18,"132,536",1,4,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,마츠오카 조지,"코바야시 카오루,오다기리 조,타카오카 사키"
5584,아핏차퐁 단편 2,,"161,000",0.0%,"161,000",18,18,1,1,태국,태국,,,,기타,아핏차퐁 위라세타쿤,
5584,알 카포네 스카페이스의 전설,2018-03-22,"31,000",0.0%,"31,000",18,18,5,18,미국,미국,,주식회사 풍경소리,15세이상관람가,"범죄,액션",티모시 우드워드 주니어,"숀 패리스,마일로 깁슨,제이미 린 시글러"
5584,여기저기의 아녜스 바르다 Ep4~5,,"120,000",0.0%,"120,000",18,18,1,1,프랑스,프랑스,,,,다큐멘터리,아녜스 바르다,
5584,오렌지필름 4주년,,"170,000",0.0%,"170,000",18,18,1,2,한국,한국,,,,기타,,
5584,울프 특공대,2019-11-14,"80,000",0.0%,"80,000",18,18,5,18,중국,중국,,BX 픽쳐스,15세이상관람가,액션,윤신양,
5584,월하,2017-12-20,"54,500",0.0%,"1,211,500",18,167,1,11,한국,한국,"(주)영화맞춤제작소 영화공장,블리트필름",(주)영화맞춤제작소 영화공장,15세이상관람가,"공포(호러),미스터리,스릴러",오인천,"윤진영,정성훈,김준섭,오인천"
5584,위대한 유산,2015-03-12,"36,000",0.0%,"9,288,000",18,592,1,4,영국,영국,,(주)케빈앤컴퍼니,12세이상관람가,"공연,드라마",그라함 맥라렌,크리스토퍼 엘리슨
5584,이달의 PICK!,,"57,500",0.0%,"57,500",18,18,1,1,한국,한국,,,,드라마,,
5584,이브닝 섀도우,,"180,000",0.0%,"180,000",18,18,1,2,인도,인도,,,,드라마,,
5584,인디애니페스트2019 독립보행1,,"102,000",0.0%,"102,000",18,18,1,1,한국,한국,,,,애니메이션,,
5584,자하의 약속,,"122,500",0.0%,"122,500",18,18,1,1,미국,"미국,영국,기타",,,,다큐멘터리,,
5584,정육점 견습생,,"133,000",0.0%,"133,000",18,18,1,1,프랑스,프랑스,,,,기타,,
5584,콜로니아,,"90,000",0.0%,"90,000",18,18,1,2,독일,"독일,룩셈부르크,프랑스",,(주)콘텐츠판다,15세이상관람가,스릴러,플로리안 갈렌베르거,"엠마 왓슨,다니엘 브륄,미카엘 니크비스트,줄리안 오벤든,마틴 부트케"
5584,파리 시청 앞에서의 키스: 로베르 두아노,2017-08-24,"162,000",0.0%,"23,875,797",18,"3,218",1,1,프랑스,프랑스,,(주)영화사 진진,전체관람가,다큐멘터리,클레망틴 드루디유,"클레망틴 드루디유,로베르 두아노"
5623,"11월 수요단편극장- 그녀를 찾아서: 김태희, 공효진, 강혜정, 이다희, 서신애",,"124,000",0.0%,"124,000",17,17,1,1,한국,한국,,,,기타,,
5623,4월 수요단편극장 한국영화아카데미(KAFA) 특별전,,"136,000",0.0%,"136,000",17,17,1,1,한국,한국,,,,,,
5623,Diff 2018 특별섹션2,,"118,000",0.0%,"118,000",17,17,1,1,한국,한국,,,,드라마,,
5623,IFFB2019 MADE IN BUSAN 01,,"101,000",0.0%,"101,000",17,17,1,2,한국,한국,,,,기타,,
5623,SIPFF 2019 해외단편 3,,"170,000",0.0%,"170,000",17,17,1,1,기타,기타,,,,드라마,,
5623,검사실 7,,"107,000",0.0%,"107,000",17,17,1,2,독일,독일,,,,기타,,
5623,귀환불능점,,"99,000",0.0%,"99,000",17,17,1,2,미국,미국,,,,다큐멘터리,,
5623,김시은 배우 특별전(인디스데이),,"17,000",0.0%,"17,000",17,17,1,2,한국,한국,,,,기타,,
5623,까밀 리와인드,2013-07-18,"170,000",0.0%,"165,598,500",17,"22,210",1,1,프랑스,프랑스,,(주)엣나인필름,15세이상관람가,드라마,노에미 르보브스키,"노에미 르보브스키,사미르 구에스미,욜랭드 모로,미셸 빌레모"
5623,"나의 이름, 마티유",,"82,000",0.0%,"82,000",17,17,1,2,스위스,스위스,,,,드라마,리오넬 바이에르,
5623,던 월,,"93,000",0.0%,"93,000",17,17,1,1,미국,미국,,,,다큐멘터리,,
5623,도도녀 길들이기,2020-01-10,"51,000",0.0%,"51,000",17,17,1,1,한국,한국,선셋 시네마,선셋 시네마,청소년관람불가,"멜로/로맨스,코미디",신성진,
5623,도화선,2008-06-12,"96,000",0.0%,"224,362,000",17,"40,180",1,6,홍콩,홍콩,,㈜스튜디오이쩜영,청소년관람불가,액션,엽위신,"견자단,고천락,예성"
5623,독립영화 반짝반짝전 대구 단편,,"104,000",0.0%,"104,000",17,17,1,7,한국,한국,,,,드라마,,
5623,라디오 스타,2006-09-28,"187,000",0.0%,"9,861,455,500",17,"1,590,774",1,1,한국,한국,"(주)영화사아침,(주)씨네월드",(주)시네마서비스,12세관람가,드라마,이준익,"박중훈,안성기,김현아,강광원,함수연,손덕배,허민희,조련,최정윤,황인준,나성식,황현성,노브레인,정원호,이순금,이준익,이재은,정석용,신정근,김장훈,윤주상,안미나"
5623,라스트 부르맨,1977-09-27,"34,000",0.0%,"34,000",17,17,1,1,영국,영국,인코퍼레이티드텔레비젼,,,"드라마,전쟁",딕 리차드,"진 해크만,까뜨린느 드뇌브,테렌스 힐"
5623,로맨,,"34,000",0.0%,"34,000",17,17,1,1,미국,미국,,,,서부극(웨스턴),마이클 위너,버트 랭카스터
5623,로미오와 줄리엣,1996-12-28,"163,000",0.0%,"89,579,400",17,"13,327",1,3,미국,미국,,"이십세기폭스코리아(주),(주)프레인글로벌",고등학생이상관람가,"멜로/로맨스,액션,드라마",바즈 루어만,"레오나르도 디카프리오,클레어 데인즈"
5623,벼꽃,,"94,000",0.0%,"299,000",17,56,1,6,한국,한국,,,,다큐멘터리,오정훈,
5623,상하이 제스처,,"80,000",0.0%,"280,000",17,57,1,2,미국,미국,,,,드라마,조세프 본 스텐버그,"진 티어니,월터 휴스톤"
5623,쉿! 오늘부터 거기만 남자!,2019-03-07,"100,000",0.0%,"100,000",17,17,5,17,프랑스,프랑스,,(주)퍼스트런,15세이상관람가,코미디,오드리 데이너,"오드리 데이너,크리스티앙 클라비에,에릭 엘모스니노"
5623,시베리아,2019-03-26,"100,000",0.0%,"100,000",17,17,5,17,캐나다,캐나다,,(주)퍼스트런,청소년관람불가,"액션,멜로/로맨스",매튜 로스,"키아누 리브스,몰리 링월드"
5623,알레포 함락,,"21,000",0.0%,"21,000",17,17,1,3,노르웨이,"노르웨이,덴마크,프랑스",,,,다큐멘터리,,
5623,애국청년 변희재,2018-03-08,"58,000",0.0%,"58,000",17,17,1,7,한국,한국,노네임 필름,노네임 필름,15세이상관람가,다큐멘터리,강의석,"강의석,이보람,이정희,정태호,한명숙,한승훈,이보람"
5623,애나 앤드 킹,1999-12-31,"51,000",0.0%,"366,000",17,122,1,1,미국,미국,폭스2000픽처스,,12세관람가,"드라마,코미디,멜로/로맨스",앤디 테넌트,"주윤발,조디 포스터,링 바이"
5623,오렌지필름 영화제 우리에겐 새로움이 필요해!,,"113,000",0.0%,"113,000",17,17,1,1,한국,한국,,,,기타,,
5623,월드 워 핵전쟁의 서막,2019-03-07,"26,000",0.0%,"26,000",17,17,5,17,뉴질랜드,"뉴질랜드,미국",,주식회사 풍경소리,15세이상관람가,"액션,전쟁",A.K. 스트롬,
5623,인간의 굴레,,"51,000",0.0%,"51,000",17,17,1,1,,,,,,,,
5623,제13회 대단한단편영화제-개막식,,"136,000",0.0%,"136,000",17,17,1,1,한국,한국,,,,기타,,
5623,제13회 대단한단편영화제-폐막식,,"136,000",0.0%,"136,000",17,17,1,1,한국,한국,,,,기타,,
5623,커넥션,,"114,000",0.0%,"114,000",17,17,1,1,미국,미국,,,,기타,,
